TIMESTAMP,DOY,SW_in,SW_out,LW_in,LW_out,P_mm
2016-08-01 00:00:00,214,-0.743,1.31,350.4,385.8,0.0
2016-08-01 00:10:00,214,-0.81,1.422,349.9,386.2,0.0
2016-08-01 00:20:00,214,-0.583,1.5330000000000001,347.4,386.0,0.0
2016-08-01 00:30:00,214,-0.875,1.5490000000000002,340.4,385.7,0.0
2016-08-01 00:40:00,214,-1.7009999999999998,1.548,333.3,385.0,0.0
2016-08-01 00:50:00,214,-1.681,1.784,331.1,384.0,0.0
2016-08-01 01:00:00,214,-1.896,1.6780000000000002,331.0,383.4,0.0
2016-08-01 01:10:00,214,-2.141,1.651,331.8,382.6,0.0
2016-08-01 01:20:00,214,-1.486,2.18,334.3,382.8,0.0
2016-08-01 01:30:00,214,-0.746,2.347,334.5,382.4,0.0
2016-08-01 01:40:00,214,-0.6729999999999999,2.3,329.1,382.5,0.0
2016-08-01 01:50:00,214,-1.6440000000000001,1.751,322.3,381.5,0.0
2016-08-01 02:00:00,214,-1.8619999999999999,1.705,319.8,380.5,0.0
2016-08-01 02:10:00,214,-1.999,1.4909999999999999,318.5,379.8,0.0
2016-08-01 02:20:00,214,-2.345,1.655,317.5,379.2,0.0
2016-08-01 02:30:00,214,-2.169,1.98,317.3,378.0,0.0
2016-08-01 02:40:00,214,-1.621,1.643,324.8,377.4,0.0
2016-08-01 02:50:00,214,-0.523,1.484,339.6,378.5,0.0
2016-08-01 03:00:00,214,-0.6659999999999999,0.9159999999999999,349.9,379.2,0.0
2016-08-01 03:10:00,214,-0.6779999999999999,0.7659999999999999,354.7,379.8,0.0
2016-08-01 03:20:00,214,-0.659,0.884,352.7,380.0,0.0
2016-08-01 03:30:00,214,-0.271,1.258,345.1,379.9,0.0
2016-08-01 03:40:00,214,2.147,1.7819999999999998,341.1,379.6,0.0
2016-08-01 03:50:00,214,13.59,3.75,335.9,379.3,0.0
2016-08-01 04:00:00,214,21.51,5.231,324.4,379.2,0.0
2016-08-01 04:10:00,214,32.91,8.55,320.2,379.2,0.0
2016-08-01 04:20:00,214,51.86,11.44,319.2,380.3,0.0
2016-08-01 04:30:00,214,90.0,21.18,316.4,381.3,0.0
2016-08-01 04:40:00,214,74.32,13.02,315.9,382.3,0.0
2016-08-01 04:50:00,214,90.2,14.6,328.4,382.9,0.0
2016-08-01 05:00:00,214,184.1,32.57,316.1,385.5,0.0
2016-08-01 05:10:00,214,218.2,34.6,317.4,388.2,0.0
2016-08-01 05:20:00,214,251.4,37.91,318.8,390.4,0.0
2016-08-01 05:30:00,214,284.2,41.14,320.1,392.5,0.0
2016-08-01 05:40:00,214,320.2,44.8,321.6,395.2,0.0
2016-08-01 05:50:00,214,356.4,48.11,323.3,398.2,0.0
2016-08-01 06:00:00,214,391.7,51.09,325.0,401.5,0.0
2016-08-01 06:10:00,214,424.0,54.11,327.5,405.8,0.0
2016-08-01 06:20:00,214,457.9,56.48,329.0,409.1,0.0
2016-08-01 06:30:00,214,471.1,59.47,330.1,412.4,0.0
2016-08-01 06:40:00,214,522.1,60.82,332.7,416.9,0.0
2016-08-01 06:50:00,214,555.4,64.19,333.8,419.2,0.0
2016-08-01 07:00:00,214,587.0,66.12,335.6,423.1,0.0
2016-08-01 07:10:00,214,607.9,67.91,338.3,427.5,0.0
2016-08-01 07:20:00,214,642.1,70.81,339.9,430.5,0.0
2016-08-01 07:30:00,214,667.3,73.14,342.0,434.1,0.0
2016-08-01 07:40:00,214,693.8,77.86,342.7,436.6,0.0
2016-08-01 07:50:00,214,717.6,80.3,344.0,439.3,0.0
2016-08-01 08:00:00,214,736.7,82.7,346.9,443.5,0.0
2016-08-01 08:10:00,214,760.7,84.7,349.3,447.2,0.0
2016-08-01 08:20:00,214,787.1,87.9,352.0,450.5,0.0
2016-08-01 08:30:00,214,494.3,52.2,353.8,442.7,0.0
2016-08-01 08:40:00,214,817.0,93.8,358.4,451.2,0.0
2016-08-01 08:50:00,214,919.0,106.1,364.5,458.2,0.0
2016-08-01 09:00:00,214,903.0,102.8,362.9,461.0,0.0
2016-08-01 09:10:00,214,934.0,108.4,367.5,461.8,0.0
2016-08-01 09:20:00,214,905.0,104.1,372.7,464.1,0.0
2016-08-01 09:30:00,214,930.0,108.1,375.5,463.9,0.0
2016-08-01 09:40:00,214,487.9,52.29,373.8,454.5,0.0
2016-08-01 09:50:00,214,909.0,106.2,371.3,464.4,0.0
2016-08-01 10:00:00,214,867.0,100.1,365.3,466.9,0.0
2016-08-01 10:10:00,214,813.0,95.0,372.9,464.5,0.0
2016-08-01 10:20:00,214,830.0,97.0,373.9,468.8,0.0
2016-08-01 10:30:00,214,498.9,56.17,375.7,461.1,0.0
2016-08-01 10:40:00,214,953.0,114.5,379.1,471.1,0.0
2016-08-01 10:50:00,214,915.0,109.4,385.6,474.4,0.0
2016-08-01 11:00:00,214,599.1,68.15,380.2,468.2,0.0
2016-08-01 11:10:00,214,903.0,109.4,381.4,472.8,0.0
2016-08-01 11:20:00,214,831.0,97.8,367.6,473.9,0.0
2016-08-01 11:30:00,214,720.0,85.1,369.6,471.4,0.0
2016-08-01 11:40:00,214,815.0,97.9,371.4,472.6,0.0
2016-08-01 11:50:00,214,407.2,45.81,379.5,464.1,0.0
