,Rainfall (mm),Date,Year,Month,Day
0,0.0,1972-01-01,1972,1,1
1,0.0,1972-01-02,1972,1,2
2,0.0,1972-01-03,1972,1,3
3,0.0,1972-01-04,1972,1,4
4,0.0,1972-01-05,1972,1,5
5,0.0,1972-01-06,1972,1,6
6,0.0,1972-01-07,1972,1,7
7,0.0,1972-01-08,1972,1,8
8,0.0,1972-01-09,1972,1,9
9,0.0,1972-01-10,1972,1,10
10,0.0,1972-01-11,1972,1,11
11,0.0,1972-01-12,1972,1,12
12,0.0,1972-01-13,1972,1,13
13,0.0,1972-01-14,1972,1,14
14,0.0,1972-01-15,1972,1,15
15,0.0,1972-01-16,1972,1,16
16,0.0,1972-01-17,1972,1,17
17,0.0,1972-01-18,1972,1,18
18,0.0,1972-01-19,1972,1,19
19,0.0,1972-01-20,1972,1,20
20,0.0,1972-01-21,1972,1,21
21,0.0,1972-01-22,1972,1,22
22,0.0,1972-01-23,1972,1,23
23,0.0,1972-01-24,1972,1,24
24,0.0,1972-01-25,1972,1,25
25,0.0,1972-01-26,1972,1,26
26,0.0,1972-01-27,1972,1,27
27,0.0,1972-01-28,1972,1,28
28,0.0,1972-01-29,1972,1,29
29,0.0,1972-01-30,1972,1,30
30,0.0,1972-01-31,1972,1,31
31,0.0,1972-02-01,1972,2,1
32,0.0,1972-02-02,1972,2,2
33,0.0,1972-02-03,1972,2,3
34,1.27,1972-02-04,1972,2,4
35,0.0,1972-02-05,1972,2,5
36,5.08,1972-02-06,1972,2,6
37,1.27,1972-02-07,1972,2,7
38,0.0,1972-02-08,1972,2,8
39,25.4,1972-02-09,1972,2,9
40,0.0,1972-02-10,1972,2,10
41,0.0,1972-02-11,1972,2,11
42,0.0,1972-02-12,1972,2,12
43,0.0,1972-02-13,1972,2,13
44,0.0,1972-02-14,1972,2,14
45,0.0,1972-02-15,1972,2,15
46,0.0,1972-02-16,1972,2,16
47,0.0,1972-02-17,1972,2,17
48,0.0,1972-02-18,1972,2,18
49,0.0,1972-02-19,1972,2,19
50,0.0,1972-02-20,1972,2,20
51,0.0,1972-02-21,1972,2,21
52,0.0,1972-02-22,1972,2,22
53,0.0,1972-02-23,1972,2,23
54,0.0,1972-02-24,1972,2,24
55,0.0,1972-02-25,1972,2,25
56,0.0,1972-02-26,1972,2,26
57,0.0,1972-02-27,1972,2,27
58,0.0,1972-02-28,1972,2,28
59,0.0,1972-02-29,1972,2,29
60,0.0,1972-03-01,1972,3,1
61,0.0,1972-03-02,1972,3,2
62,0.0,1972-03-03,1972,3,3
63,0.0,1972-03-04,1972,3,4
64,0.0,1972-03-05,1972,3,5
65,0.0,1972-03-06,1972,3,6
66,0.0,1972-03-07,1972,3,7
67,0.0,1972-03-08,1972,3,8
68,0.0,1972-03-09,1972,3,9
69,0.0,1972-03-10,1972,3,10
70,0.0,1972-03-11,1972,3,11
71,0.0,1972-03-12,1972,3,12
72,0.0,1972-03-13,1972,3,13
73,0.0,1972-03-14,1972,3,14
74,0.0,1972-03-15,1972,3,15
75,0.0,1972-03-16,1972,3,16
76,0.0,1972-03-17,1972,3,17
77,0.0,1972-03-18,1972,3,18
78,0.0,1972-03-19,1972,3,19
79,0.0,1972-03-20,1972,3,20
80,0.0,1972-03-21,1972,3,21
81,0.0,1972-03-22,1972,3,22
82,0.0,1972-03-23,1972,3,23
83,0.0,1972-03-24,1972,3,24
84,0.0,1972-03-25,1972,3,25
85,0.0,1972-03-26,1972,3,26
86,0.0,1972-03-27,1972,3,27
87,0.0,1972-03-28,1972,3,28
88,0.0,1972-03-29,1972,3,29
89,0.0,1972-03-30,1972,3,30
90,0.0,1972-03-31,1972,3,31
91,0.0,1972-04-01,1972,4,1
92,0.0,1972-04-02,1972,4,2
93,0.0,1972-04-03,1972,4,3
94,0.0,1972-04-04,1972,4,4
95,0.0,1972-04-05,1972,4,5
96,0.0,1972-04-06,1972,4,6
97,0.0,1972-04-07,1972,4,7
98,0.0,1972-04-08,1972,4,8
99,0.0,1972-04-09,1972,4,9
100,0.0,1972-04-10,1972,4,10
101,0.0,1972-04-11,1972,4,11
102,0.0,1972-04-12,1972,4,12
103,0.0,1972-04-13,1972,4,13
104,0.0,1972-04-14,1972,4,14
105,0.0,1972-04-15,1972,4,15
106,0.0,1972-04-16,1972,4,16
107,0.0,1972-04-17,1972,4,17
108,0.0,1972-04-18,1972,4,18
109,0.0,1972-04-19,1972,4,19
110,0.0,1972-04-20,1972,4,20
111,0.0,1972-04-21,1972,4,21
112,0.0,1972-04-22,1972,4,22
113,0.0,1972-04-23,1972,4,23
114,0.0,1972-04-24,1972,4,24
115,0.0,1972-04-25,1972,4,25
116,0.0,1972-04-26,1972,4,26
117,0.0,1972-04-27,1972,4,27
118,0.0,1972-04-28,1972,4,28
119,0.0,1972-04-29,1972,4,29
120,14.732000000000001,1972-04-30,1972,4,30
121,81.28,1972-05-01,1972,5,1
122,7.62,1972-05-02,1972,5,2
123,0.0,1972-05-03,1972,5,3
124,6.604,1972-05-04,1972,5,4
125,0.0,1972-05-05,1972,5,5
126,0.0,1972-05-06,1972,5,6
127,0.0,1972-05-07,1972,5,7
128,2.54,1972-05-08,1972,5,8
129,13.97,1972-05-09,1972,5,9
130,13.97,1972-05-10,1972,5,10
131,0.0,1972-05-11,1972,5,11
132,0.0,1972-05-12,1972,5,12
133,3.81,1972-05-13,1972,5,13
134,0.0,1972-05-14,1972,5,14
135,0.0,1972-05-15,1972,5,15
136,7.62,1972-05-16,1972,5,16
137,16.51,1972-05-17,1972,5,17
138,29.21,1972-05-18,1972,5,18
139,17.272000000000002,1972-05-19,1972,5,19
140,4.064,1972-05-20,1972,5,20
141,3.81,1972-05-21,1972,5,21
142,0.0,1972-05-22,1972,5,22
143,17.78,1972-05-23,1972,5,23
144,0.0,1972-05-24,1972,5,24
145,7.62,1972-05-25,1972,5,25
146,0.0,1972-05-26,1972,5,26
147,0.0,1972-05-27,1972,5,27
148,0.0,1972-05-28,1972,5,28
149,0.0,1972-05-29,1972,5,29
150,0.0,1972-05-30,1972,5,30
151,0.0,1972-05-31,1972,5,31
152,0.0,1972-06-01,1972,6,1
153,0.0,1972-06-02,1972,6,2
154,0.0,1972-06-03,1972,6,3
155,0.0,1972-06-04,1972,6,4
156,0.0,1972-06-05,1972,6,5
157,0.0,1972-06-06,1972,6,6
158,0.0,1972-06-07,1972,6,7
159,0.0,1972-06-08,1972,6,8
160,0.0,1972-06-09,1972,6,9
161,0.0,1972-06-10,1972,6,10
162,0.0,1972-06-11,1972,6,11
163,0.0,1972-06-12,1972,6,12
164,0.0,1972-06-13,1972,6,13
165,0.0,1972-06-14,1972,6,14
166,0.0,1972-06-15,1972,6,15
167,2.54,1972-06-16,1972,6,16
168,6.35,1972-06-17,1972,6,17
169,31.75,1972-06-18,1972,6,18
170,0.0,1972-06-19,1972,6,19
171,0.0,1972-06-20,1972,6,20
172,0.0,1972-06-21,1972,6,21
173,0.0,1972-06-22,1972,6,22
174,0.0,1972-06-23,1972,6,23
175,26.67,1972-06-24,1972,6,24
176,7.62,1972-06-25,1972,6,25
177,7.62,1972-06-26,1972,6,26
178,0.0,1972-06-27,1972,6,27
179,0.0,1972-06-28,1972,6,28
180,0.0,1972-06-29,1972,6,29
181,5.08,1972-06-30,1972,6,30
182,0.0,1972-07-01,1972,7,1
183,0.0,1972-07-02,1972,7,2
184,0.0,1972-07-03,1972,7,3
185,0.0,1972-07-04,1972,7,4
186,0.0,1972-07-05,1972,7,5
187,0.0,1972-07-06,1972,7,6
188,0.0,1972-07-07,1972,7,7
189,0.0,1972-07-08,1972,7,8
190,0.0,1972-07-09,1972,7,9
191,0.0,1972-07-10,1972,7,10
192,0.0,1972-07-11,1972,7,11
193,0.0,1972-07-12,1972,7,12
194,0.0,1972-07-13,1972,7,13
195,0.0,1972-07-14,1972,7,14
196,0.0,1972-07-15,1972,7,15
197,13.208,1972-07-16,1972,7,16
198,22.351999999999997,1972-07-17,1972,7,17
199,15.24,1972-07-18,1972,7,18
200,0.0,1972-07-19,1972,7,19
201,0.0,1972-07-20,1972,7,20
202,0.0,1972-07-21,1972,7,21
203,0.0,1972-07-22,1972,7,22
204,0.0,1972-07-23,1972,7,23
205,0.0,1972-07-24,1972,7,24
206,0.0,1972-07-25,1972,7,25
207,0.0,1972-07-26,1972,7,26
208,0.0,1972-07-27,1972,7,27
209,0.0,1972-07-28,1972,7,28
210,0.0,1972-07-29,1972,7,29
211,0.0,1972-07-30,1972,7,30
212,1.524,1972-07-31,1972,7,31
213,24.892,1972-08-01,1972,8,1
214,0.0,1972-08-02,1972,8,2
215,0.0,1972-08-03,1972,8,3
216,0.0,1972-08-04,1972,8,4
217,31.75,1972-08-05,1972,8,5
218,0.0,1972-08-06,1972,8,6
219,3.81,1972-08-07,1972,8,7
220,0.0,1972-08-08,1972,8,8
221,0.0,1972-08-09,1972,8,9
222,0.0,1972-08-10,1972,8,10
223,0.0,1972-08-11,1972,8,11
224,0.0,1972-08-12,1972,8,12
225,0.0,1972-08-13,1972,8,13
226,0.0,1972-08-14,1972,8,14
227,10.16,1972-08-15,1972,8,15
228,0.0,1972-08-16,1972,8,16
229,0.0,1972-08-17,1972,8,17
230,0.0,1972-08-18,1972,8,18
231,0.0,1972-08-19,1972,8,19
232,0.0,1972-08-20,1972,8,20
233,0.0,1972-08-21,1972,8,21
234,0.0,1972-08-22,1972,8,22
235,0.0,1972-08-23,1972,8,23
236,0.0,1972-08-24,1972,8,24
237,0.0,1972-08-25,1972,8,25
238,0.0,1972-08-26,1972,8,26
239,0.0,1972-08-27,1972,8,27
240,0.0,1972-08-28,1972,8,28
