"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 06-Feb-2020 from archive dated 06-Feb-2020 08:55:31    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"                                                                        "
" The data file below contains 2 columns indicaing the date and CO2      "
" concentrations in micro-mol CO2 per mole (ppm), reported on the 2008A  "
" SIO manometric mole fraction scale.  These weekly values have been     "
" adjusted to 12:00 hours at middle day of each weekly period as         "
" indicated by the date in the first column.                             "
1958-03-29, 316.19
1958-04-05, 317.31
1958-04-12, 317.69
1958-04-19, 317.58
1958-04-26, 316.48
1958-05-03, 316.95
1958-05-17, 317.56
1958-05-24, 317.99
1958-07-05, 315.85
1958-07-12, 315.85
1958-07-19, 315.46
1958-07-26, 315.59
1958-08-02, 315.64
1958-08-09, 315.10
1958-08-16, 315.09
1958-08-30, 314.14
1958-09-06, 313.54
1958-11-08, 313.05
1958-11-15, 313.26
1958-11-22, 313.57
1958-11-29, 314.01
1958-12-06, 314.56
1958-12-13, 314.41
1958-12-20, 314.77
1958-12-27, 315.21
1959-01-03, 315.24
1959-01-10, 315.50
1959-01-17, 315.69
1959-01-24, 315.86
1959-01-31, 315.42
1959-02-14, 316.94
1959-02-21, 316.61
1959-02-28, 316.62
1959-03-07, 316.81
1959-03-21, 316.73
1959-03-28, 316.71
1959-04-04, 317.72
1959-04-11, 317.12
1959-04-18, 317.64
1959-04-25, 318.32
1959-05-02, 318.27
1959-05-09, 318.78
1959-05-16, 318.05
1959-05-23, 318.43
1959-06-06, 318.53
1959-06-13, 318.14
1959-06-20, 317.88
1959-06-27, 317.76
1959-07-04, 316.86
1959-07-11, 316.83
1959-07-18, 316.45
1959-07-25, 316.16
1959-08-01, 315.62
1959-08-08, 314.91
1959-08-22, 315.00
1959-08-29, 314.15
1959-09-05, 314.45
1959-09-12, 313.93
1959-09-19, 313.57
1959-09-26, 313.54
1959-10-03, 313.04
1959-10-10, 313.15
1959-10-17, 313.43
1959-10-24, 313.46
1959-10-31, 314.12
1959-11-07, 314.42
1959-11-14, 314.88
1959-11-21, 315.20
1959-11-28, 315.11
1959-12-05, 315.06
1959-12-12, 315.64
1959-12-19, 315.86
1959-12-26, 315.77
1960-01-02, 315.72
1960-01-09, 316.40
1960-01-16, 316.73
1960-01-23, 316.57
1960-01-30, 316.68
1960-02-06, 316.61
1960-02-13, 316.98
1960-02-20, 317.42
1960-02-27, 317.00
1960-03-05, 316.96
1960-03-12, 317.76
1960-03-19, 318.07
1960-03-26, 317.77
1960-04-02, 318.61
1960-04-09, 319.34
1960-04-16, 319.01
1960-04-23, 319.03
1960-04-30, 319.77
1960-05-07, 319.96
1960-05-14, 319.82
1960-05-21, 320.04
1960-05-28, 320.06
1960-06-04, 319.46
1960-06-11, 320.08
1960-06-18, 319.42
1960-06-25, 319.09
1960-07-02, 318.18
1960-07-09, 318.64
1960-07-16, 318.41
1960-07-23, 317.91
1960-07-30, 317.33
1960-08-06, 316.62
1960-08-13, 316.70
1960-08-20, 315.10
1960-08-27, 314.78
1960-09-03, 314.72
1960-09-10, 314.58
1960-09-17, 314.28
1960-09-24, 313.33
1960-10-01, 313.66
1960-10-08, 313.32
1960-10-15, 313.92
1960-10-22, 314.21
1960-10-29, 314.29
1960-11-05, 314.50
1960-11-12, 315.10
1960-11-19, 315.10
1960-11-26, 315.41
1960-12-03, 315.84
1960-12-10, 316.07
1960-12-17, 316.21
1960-12-24, 316.40
1960-12-31, 316.67
1961-01-07, 316.73
1961-01-14, 317.02
1961-01-21, 317.03
1961-01-28, 317.01
1961-02-04, 317.06
1961-02-11, 317.75
1961-02-18, 317.94
1961-02-25, 318.00
1961-03-04, 318.04
1961-03-11, 318.51
1961-03-18, 318.92
1961-03-25, 318.71
1961-04-01, 319.41
1961-04-08, 319.55
1961-04-15, 318.90
1961-04-22, 319.74
1961-04-29, 319.67
1961-05-06, 320.67
1961-05-13, 320.46
1961-05-20, 320.61
1961-05-27, 320.36
1961-06-03, 320.09
1961-06-10, 320.02
1961-06-17, 319.62
